date,open,high,low,close,volume,volume.1,market_sentiment,news_sentiment
2025-06-27 16:10:00,106857.99,106878.77,106807.62,106823.0,805,0,,
2025-06-27 16:15:00,106819.25,106874.12,106780.81,106815.03,732,0,,
2025-06-27 16:20:00,106816.75,106828.88,106717.68,106768.68,736,0,,
2025-06-27 16:25:00,106771.73,106785.36,106688.64,106736.7,948,0,,
2025-06-27 16:30:00,106734.18,106950.76,106684.66,106882.77,1513,0,,
2025-06-27 16:35:00,106878.48,107042.85,106821.14,106953.37,1335,0,,
2025-06-27 16:40:00,106951.72,106987.47,106842.72,106882.61,1127,0,,
2025-06-27 16:45:00,106886.02,106886.9,106498.14,106595.3,1327,0,,
2025-06-27 16:50:00,106595.3,106712.62,106404.19,106703.21,1322,0,,
2025-06-27 16:55:00,106698.1,106879.89,106659.11,106863.3,1153,0,,
2025-06-27 17:00:00,106863.3,107149.85,106827.77,107095.5,1319,0,,
2025-06-27 17:05:00,107095.5,107141.89,106940.81,106991.03,1351,0,,
2025-06-27 17:10:00,106991.03,107078.53,106753.14,106760.97,1291,0,,
2025-06-27 17:15:00,106763.37,106829.2,106559.04,106623.73,1186,0,,
2025-06-27 17:20:00,106624.32,106735.1,106514.17,106515.5,1284,0,,
2025-06-27 17:25:00,106514.89,106724.82,106461.42,106561.66,1368,0,,
2025-06-27 17:30:00,106561.66,106645.04,106477.45,106490.52,1304,0,,
2025-06-27 17:35:00,106490.52,106761.87,106431.48,106514.62,1418,0,,
2025-06-27 17:40:00,106514.77,106641.26,106434.68,106612.73,1137,0,,
2025-06-27 17:45:00,106612.68,106713.99,106603.14,106671.45,1014,0,,
2025-06-27 17:50:00,106673.23,106697.67,106496.69,106596.29,1118,0,,
2025-06-27 17:55:00,106597.83,106640.07,106491.2,106628.97,858,0,,
2025-06-27 18:00:00,106624.47,106650.02,106529.45,106553.39,921,0,,
2025-06-27 18:05:00,106544.9,106765.68,106544.9,106612.77,794,0,,
2025-06-27 18:10:00,106612.2,106680.03,106554.63,106641.33,828,0,,
2025-06-27 18:15:00,106641.33,106708.42,106534.33,106707.55,860,0,,
