date,open,high,low,close,volume,volume
2025-05-06 10:35:00,3377.85,3378.68,3375.84,3378.44,1019,0
2025-05-06 10:40:00,3378.46,3379.41,3372.73,3372.98,1225,0
2025-05-06 10:45:00,3372.98,3376.19,3371.48,3374.24,1059,0
2025-05-06 10:50:00,3374.24,3374.68,3372.08,3372.98,883,0
2025-05-06 10:55:00,3372.98,3373.52,3369.61,3371.07,1165,0
2025-05-06 11:00:00,3371.07,3374.04,3368.32,3372.49,1199,0
2025-05-06 11:05:00,3372.51,3374.88,3369.19,3372.77,1484,0
2025-05-06 11:10:00,3372.77,3377.85,3369.15,3377.7,1172,0
2025-05-06 11:15:00,3377.7,3381.71,3377.12,3381.5,1186,0
2025-05-06 11:20:00,3381.5,3383.01,3377.88,3381.79,1291,0
2025-05-06 11:25:00,3381.75,3382.35,3379.23,3380.64,820,0
2025-05-06 11:30:00,3380.56,3381.04,3376.77,3377.64,848,0
2025-05-06 11:35:00,3377.64,3379.71,3376.91,3377.04,870,0
2025-05-06 11:40:00,3377.05,3377.77,3375.76,3377.5,790,0
2025-05-06 11:45:00,3377.52,3379.08,3377.41,3378.06,731,0
2025-05-06 11:50:00,3378.06,3379.54,3376.22,3377.14,660,0
2025-05-06 11:55:00,3377.14,3377.68,3375.83,3376.97,599,0
2025-05-06 12:00:00,3376.98,3377.41,3375.33,3376.91,729,0
2025-05-06 12:05:00,3376.91,3379.83,3375.11,3379.82,791,0
2025-05-06 12:10:00,3379.84,3380.39,3375.58,3375.96,691,0
2025-05-06 12:15:00,3375.96,3376.79,3371.28,3372.8,835,0
2025-05-06 12:20:00,3372.82,3374.54,3371.26,3373.54,555,0
2025-05-06 12:25:00,3373.54,3375.71,3372.34,3373.73,663,0
2025-05-06 12:30:00,3373.69,3377.62,3373.18,3376.27,670,0
2025-05-06 12:35:00,3376.27,3377.17,3374.19,3376.37,712,0
2025-05-06 12:40:00,3376.37,3379.82,3375.99,3378.36,692,0
2025-05-06 12:45:00,3378.36,3379.98,3377.78,3378.8,690,0
2025-05-06 12:50:00,3378.77,3380.56,3376.98,3380.02,889,0
2025-05-06 12:55:00,3380.03,3383.03,3380.0,3383.03,853,0
2025-05-06 13:00:00,3383.03,3383.64,3380.98,3382.99,988,0
2025-05-06 13:05:00,3382.99,3382.99,3380.33,3381.15,854,0
2025-05-06 13:10:00,3381.15,3383.68,3381.03,3382.99,762,0
2025-05-06 13:15:00,3383.02,3383.21,3380.96,3382.58,875,0
2025-05-06 13:20:00,3382.45,3382.66,3377.94,3378.77,726,0
2025-05-06 13:25:00,3378.77,3380.17,3378.66,3379.39,464,0
2025-05-06 13:30:00,3379.38,3380.2,3378.08,3378.22,579,0
2025-05-06 13:35:00,3378.16,3379.45,3377.11,3377.26,584,0
2025-05-06 13:40:00,3377.25,3379.51,3376.56,3379.18,696,0
2025-05-06 13:45:00,3379.2,3379.83,3378.01,3379.09,591,0
2025-05-06 13:50:00,3379.11,3381.18,3379.09,3380.65,628,0
2025-05-06 13:55:00,3380.7,3383.59,3380.54,3383.45,835,0
2025-05-06 14:00:00,3383.45,3384.08,3381.65,3383.07,745,0
2025-05-06 14:05:00,3383.07,3383.69,3382.05,3382.63,586,0
2025-05-06 14:10:00,3382.5,3382.85,3380.97,3381.04,685,0
2025-05-06 14:15:00,3381.04,3383.07,3381.04,3381.46,662,0
2025-05-06 14:20:00,3381.46,3384.94,3381.46,3384.11,939,0
2025-05-06 14:25:00,3384.02,3384.42,3379.38,3380.47,864,0
2025-05-06 14:30:00,3380.45,3381.58,3378.09,3378.71,1065,0
2025-05-06 14:35:00,3378.7,3378.7,3374.0,3376.47,1212,0
2025-05-06 14:40:00,3376.23,3376.23,3373.5,3374.41,940,0
2025-05-06 14:45:00,3374.41,3377.58,3374.0,3377.12,675,0
2025-05-06 14:50:00,3377.12,3380.4,3376.89,3378.1,766,0
2025-05-06 14:55:00,3378.1,3380.03,3377.18,3379.02,739,0
2025-05-06 15:00:00,3379.02,3379.42,3373.32,3375.11,1073,0
2025-05-06 15:05:00,3375.12,3377.03,3373.51,3376.94,942,0
2025-05-06 15:10:00,3376.94,3377.91,3374.99,3377.52,916,0
2025-05-06 15:15:00,3377.44,3377.47,3372.95,3374.56,986,0
2025-05-06 15:20:00,3374.56,3378.64,3374.56,3376.93,1155,0
2025-05-06 15:25:00,3377.11,3378.26,3375.45,3376.05,826,0
2025-05-06 15:30:00,3376.05,3384.24,3375.01,3384.22,1355,0
2025-05-06 15:35:00,3384.22,3388.53,3383.28,3387.89,1495,0
2025-05-06 15:40:00,3387.89,3392.1,3387.88,3389.6,1485,0
2025-05-06 15:45:00,3389.6,3389.69,3385.32,3388.01,1351,0
2025-05-06 15:50:00,3388.06,3388.1,3385.13,3387.17,1168,0
2025-05-06 15:55:00,3387.17,3391.22,3387.13,3390.94,1198,0
2025-05-06 16:00:00,3390.94,3394.48,3390.52,3391.15,2171,0
2025-05-06 16:05:00,3391.15,3392.56,3389.27,3389.97,1656,0
2025-05-06 16:10:00,3389.97,3396.6,3389.63,3394.38,1584,0
2025-05-06 16:15:00,3394.3,3397.14,3393.07,3394.71,1380,0
2025-05-06 16:20:00,3394.71,3396.36,3393.58,3396.05,1162,0
2025-05-06 16:25:00,3396.05,3397.28,3395.34,3396.83,1161,0
2025-05-06 16:30:00,3396.88,3396.9,3392.2,3394.62,1968,0
2025-05-06 16:35:00,3394.62,3397.07,3388.06,3388.27,1919,0
2025-05-06 16:40:00,3388.35,3395.65,3387.63,3392.02,1785,0
2025-05-06 16:45:00,3392.08,3397.41,3390.58,3397.24,1722,0
2025-05-06 16:50:00,3397.23,3397.24,3391.9,3393.94,1797,0
2025-05-06 16:55:00,3393.96,3394.34,3390.39,3391.62,1458,0
2025-05-06 17:00:00,3391.59,3395.64,3391.02,3394.58,1692,0
2025-05-06 17:05:00,3394.6,3397.44,3394.53,3397.13,1645,0
2025-05-06 17:10:00,3397.13,3397.86,3393.63,3394.23,1409,0
2025-05-06 17:15:00,3394.18,3395.7,3391.87,3392.61,1755,0
2025-05-06 17:20:00,3392.61,3393.62,3391.16,3392.91,1437,0
2025-05-06 17:25:00,3392.88,3393.37,3383.68,3383.86,2147,0
2025-05-06 17:30:00,3383.81,3386.58,3381.56,3386.54,1864,0
2025-05-06 17:35:00,3386.54,3388.73,3384.98,3386.86,1406,0
2025-05-06 17:40:00,3386.88,3387.8,3377.98,3379.56,1612,0
2025-05-06 17:45:00,3379.62,3382.86,3379.5,3381.11,1649,0
2025-05-06 17:50:00,3381.11,3383.34,3379.06,3382.68,1439,0
2025-05-06 17:55:00,3382.65,3386.43,3382.13,3386.08,933,0
2025-05-06 18:00:00,3386.06,3390.59,3385.13,3390.23,931,0
2025-05-06 18:05:00,3390.21,3392.68,3389.02,3392.47,1055,0
2025-05-06 18:10:00,3392.47,3395.09,3392.28,3394.95,732,0
2025-05-06 18:15:00,3394.95,3396.63,3393.43,3394.57,1077,0
2025-05-06 18:20:00,3394.57,3397.96,3394.27,3397.15,945,0
